date,app_installed,contact_tracing_enabled
2021-09-22,14618478.857142856,10567733.285714285
2021-09-23,14600782.42857143,10553909.714285715
2021-09-24,14582476.42857143,10539091
2021-09-25,14563861.857142856,10523069.57142857
2021-09-26,14537562.42857143,10501285.714285715
2021-09-27,14513609.142857144,10481023.57142857
2021-09-28,14490878,10462377.857142856
2021-09-29,14467466.285714285,10443096.714285715
2021-09-30,14442871.857142856,10424147
2021-10-01,14415410.285714285,10405474.42857143
2021-10-02,14388065.42857143,10383017.714285715
2021-10-03,14365927.714285715,10364983.714285715
2021-10-04,14340630,10345179.57142857
2021-10-05,14315727.57142857,10324823
2021-10-06,14291702.857142856,10307337.714285715
2021-10-07,14269074.142857144,10290232.285714285
2021-10-08,14248113.285714285,10273862.285714285
2021-10-09,14222679.285714285,10263025.857142856
2021-10-10,14189407.42857143,10250128.714285715
2021-10-11,14155688.857142856,10238750.285714285
2021-10-12,14120832.714285715,10227574.57142857
2021-10-13,14086679,10216117.42857143
2021-10-14,14051877.142857144,10204790.714285715
2021-10-15,14016790.714285715,10192079.57142857
2021-10-16,13986107,10178698.714285715
2021-10-17,13963732.57142857,10166925.142857144
2021-10-18,13943546.714285715,10155235.714285715
2021-10-19,13926039.285714285,10144205.714285715
2021-10-20,13909643.857142856,10134151.42857143
2021-10-21,13893602.42857143,10123476.285714285
2021-10-22,13878440.857142856,10112162.285714285
2021-10-23,13864962,10101844.142857144
2021-10-24,13850839.42857143,10091253.285714285
2021-10-25,13836521.285714285,10079704
2021-10-26,13823022.285714285,10067411.857142856
2021-10-27,13809138.857142856,10055755.857142856
2021-10-28,13795502.42857143,10045521.714285715
2021-10-29,13787067.285714285,10038546.42857143
2021-10-30,13787303.285714285,10031671.285714285
2021-10-31,13791532.714285715,10024511.57142857
2021-11-01,13797655.42857143,10017644.857142856
2021-11-02,13803021.57142857,10010485.285714285
2021-11-03,13809071.857142856,10001987.714285715
2021-11-04,13815603.285714285,9992958.142857144
2021-11-05,13818214.285714285,9982186.57142857
2021-11-06,13811466,9970972.142857144
2021-11-07,13800532.857142856,9959736
2021-11-08,13788625.857142856,9950415
2021-11-09,13775666.42857143,9941175.57142857
2021-11-10,13761369.714285715,9932217.857142856
2021-11-11,13747446.857142856,9923946
2021-11-12,13733359,9916334.142857144
2021-11-13,13717858.857142856,9909147.714285715
2021-11-14,13703866.42857143,9902673.714285715
2021-11-15,13689825.857142856,9893782.857142856
2021-11-16,13678320.285714285,9885772.857142856
2021-11-17,13668269,9877889.285714285
2021-11-18,13658803,9869722.142857144
2021-11-19,13649850.285714285,9860921.142857144
2021-11-20,13641896.57142857,9851253.42857143
2021-11-21,13635430.142857144,9842844.285714285
2021-11-22,13628187,9835000.42857143
2021-11-23,13615374,9823213.142857144
2021-11-24,13606810.857142856,9814076
2021-11-25,13600939.57142857,9809156
2021-11-26,13598923.57142857,9806966.857142856
2021-11-27,13599502.57142857,9807558.285714285
2021-11-28,13599379.857142856,9808563
2021-11-29,13600184.142857144,9810069
2021-11-30,13606648.857142856,9815552
2021-12-01,13608886,9819314.42857143
2021-12-02,13609603,9820496.285714285
2021-12-03,13607599.57142857,9819740.57142857
2021-12-04,13604546.42857143,9817718.714285715
2021-12-05,13609691,9819672.142857144
2021-12-06,13615006.142857144,9823908.142857144
2021-12-07,13619648.42857143,9830066.42857143
2021-12-08,13625075.142857144,9837982.285714285
2021-12-09,13632076.285714285,9847123.714285715
2021-12-10,13641495,9858739.42857143
2021-12-11,13654198.285714285,9880214.857142856
2021-12-12,13666853.714285715,9901379.714285715
2021-12-13,13681863.285714285,9922330.285714285
2021-12-14,13698325.142857144,9942322.857142856
2021-12-15,13716579.142857144,9963577.57142857
2021-12-16,13730414.57142857,9981381.57142857
2021-12-17,13742426.57142857,9994913.42857143
2021-12-18,13753386.285714285,9997972
2021-12-19,13757909.57142857,9996399.142857144
2021-12-20,13757911.142857144,9990877
2021-12-21,13756566.42857143,9981512.142857144
2021-12-22,13750814,9965128.285714285
2021-12-23,13745079.57142857,9946020.142857144
2021-12-24,13741806,9923078.714285715
2021-12-25,13735935.57142857,9902867.285714285
2021-12-26,13724908.857142856,9889655.42857143
2021-12-27,13715486,9881149.285714285
2021-12-28,13697884.57142857,9875858.42857143
2021-12-29,13694203.857142856,9884679.285714285
2021-12-30,13690293.42857143,9900239
2021-12-31,13686833.142857144,9920601.285714285
2022-01-01,13685206.142857144,9950094.857142856
2022-01-02,13687861.142857144,9975693.57142857
2022-01-03,13690181.142857144,9998156.42857143
2022-01-04,13701976.714285715,10022925.42857143
2022-01-05,13701746.42857143,10037286
2022-01-06,13700614.42857143,10050068.714285715
2022-01-07,13695360.42857143,10063270.142857144
2022-01-08,13686406.142857144,10062076.42857143
2022-01-09,13676107.857142856,10057869
2022-01-10,13668854.142857144,10053867.857142856
2022-01-11,13667447.714285715,10047416.285714285
2022-01-12,13669098,10041477.57142857
2022-01-13,13671235,10032090
2022-01-14,13673455.142857144,10022191.714285715
2022-01-15,13677913.57142857,10014358.142857144
2022-01-16,13682017.285714285,10006067.142857144
2022-01-17,13681468.57142857,9996878.42857143
2022-01-18,13674193,9988435.57142857
2022-01-19,13663287.42857143,9980145.42857143
2022-01-20,13650862.42857143,9972484.57142857
2022-01-21,13638376.714285715,9965380.857142856
2022-01-22,13624750.42857143,9958361.142857144
2022-01-23,13591754.57142857,9938485.42857143
2022-01-24,13573845.857142856,9934426.57142857
2022-01-25,13552316.857142856,9924794.57142857
2022-01-26,13528499.57142857,9911901.285714285
2022-01-27,13507956.142857144,9899489
2022-01-28,13487358.285714285,9885637
2022-01-29,13466915.857142856,9871213.57142857
2022-01-30,13465025.714285715,9868516.42857143
2022-01-31,13447813.142857144,9848190.285714285
2022-02-01,13434264.142857144,9832387.285714285
2022-02-02,13421797.285714285,9817407.285714285
2022-02-03,13408608.42857143,9801796.714285715
2022-02-04,13393390.857142856,9785871.857142856
2022-02-05,13377701,9769726.142857144
2022-02-06,13360549.142857144,9752383.714285715
2022-02-07,13343270.714285715,9735752.857142856
2022-02-08,13323853.714285715,9718475.285714285
2022-02-09,13304429.57142857,9699794.857142856
2022-02-10,13282021.57142857,9677782.714285715
2022-02-11,13260281.142857144,9655447
2022-02-12,13237747.857142856,9631933.285714285
2022-02-13,13216701.57142857,9609789.42857143
