week_starting,midweek_date,week_label,app_positives,app_notifications,weekly_sum_eng_wales_cases_by_specimen_date,exposure_notifications_per_index_case,percent_cases_through_app,percent_cases_over_16_through_app
2022-08-11,2022-08-14,11 August to 17 August,14841,26875,34288,1.8108618017653797,43.28336444237051,44.97790654681448
2022-08-18,2022-08-21,18 August to 24 August,11151,19933,26485,1.7875526858577706,42.10307721351709,44.559796681691765
2022-08-25,2022-08-28,25 August to 31 August,9588,18909,24428,1.9721526908635796,39.2500409366301,41.362887291740364
2022-09-01,2022-09-04,01 September to 07 September,10333,18866,26118,1.8258008322849124,39.562753656482116,41.321752205453045
2022-09-08,2022-09-11,08 September to 14 September,10399,19949,27217,1.9183575343783057,38.20773781092699,41.00099358115035
2022-09-15,2022-09-18,15 September to 21 September,13533,26062,35213,1.9258109805660237,38.43182915400563,41.1978519763279
2022-09-22,2022-09-25,22 September to 28 September,18944,34234,48450,1.8071157094594594,39.100103199174406,41.287442898490085
2022-09-29,2022-10-02,29 September to 05 October,24429,48450,61045,1.9832985386221293,40.018019493816034,41.52586165865466
2022-10-06,2022-10-09,06 October to 12 October,25576,59447,59242,2.324327494526118,43.17207386651362,44.20798633797607
2022-10-13,2022-10-16,13 October to 19 October,22386,58784,52911,2.6259269186098453,42.30878267279016,44.43341735971894
2022-10-20,2022-10-23,20 October to 26 October,16801,42084,38175,2.50485090173204,44.01047806155861,45.31942900918203
2022-10-27,2022-10-30,27 October to 02 November,11758,28616,28109,2.433747235924477,41.83001885517094,43.62441007984329
2022-11-03,2022-11-06,03 November to 09 November,8684,20516,22057,2.3625057577153386,39.37072131296187,41.70628860136972
2022-11-10,2022-11-13,10 November to 16 November,7318,19309,20048,2.638562448756491,36.502394253790904,38.26845441044199
2022-11-17,2022-11-20,17 November to 23 November,7215,19866,20566,2.7534303534303533,35.08217446270543,37.07643449572966
2022-11-24,2022-11-27,24 November to 30 November,7743,20088,23317,2.5943432777993025,33.2075309859759,35.39430619297508
2022-12-01,2022-12-04,01 December to 07 December,8935,26644,27216,2.9819809736989367,32.82995296884186,34.95778461153235
2022-12-08,2022-12-11,08 December to 14 December,16374,57603,35087,3.517955294979846,46.66685667056175,49.526932197647966
2022-12-15,2022-12-18,15 December to 21 December,21619,76030,44726,3.5168139136870344,48.33653803157,56.22422070457772
2022-12-22,2022-12-25,22 December to 28 December,18229,52824,37498,2.897800208459049,48.61325937383327,51.14930917988259
2022-12-29,2023-01-01,29 December to 04 January,17020,36065,35848,2.1189776733254995,47.47824146395894,48.40480293955372
2023-01-05,2023-01-08,05 January to 11 January,8737,18850,21167,2.1574911296783794,41.27651533046724,42.86246921574977
2023-01-12,2023-01-15,12 January to 18 January,5044,13005,13480,2.578310864393339,37.41839762611276,38.756473498993444
2023-01-19,2023-01-22,19 January to 25 January,5019,14045,14216,2.7983662084080496,35.30528981429376,37.46864548494984
2023-01-26,2023-01-29,26 January to 01 February,6715,20367,18643,3.033060312732688,36.01888108137102,38.10015546452119
2023-02-02,2023-02-05,02 February to 08 February,8292,23447,21129,2.827665219488664,39.244640068152776,41.18815815616928
2023-02-09,2023-02-12,09 February to 15 February,9553,30440,24272,3.186433581074008,39.358108108108105,40.64691265572877
